"scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","project_pi_contact","access","id"
"Rumohra adiantiformis","whole plant growth form","Herb",NA,"Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.",NA,NA,NA,"http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract","Engemann, K","engemann@bios.au.dk","public",4576067
"Rumohra adiantiformis","whole plant growth form diversity","Herb",NA,"Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.",NA,NA,NA,"http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract","Engemann, K","engemann@bios.au.dk","public",4576068
"Myrsine coriacea","diameter at breast height (1.3 m)","19.1","cm",NA,10.1823432219,-84.1068322137,NA,NA,"VG-VB-9",NA,"public",5321635
"Guarea macrophylla","diameter at breast height (1.3 m)","26.1","cm",NA,-1.75391,-51.52048,NA,NA,"VG-CAX-1",NA,"public",5337439
"Myrsine coriacea","diameter at breast height (1.3 m)","13.3","cm",NA,10.1823432219,-84.1068322137,NA,NA,"VG-VB-9",NA,"public",5416873
"Myrsine coriacea","diameter at breast height (1.3 m)","10.3","cm",NA,10.1823432219,-84.1068322137,NA,NA,"VG-VB-9",NA,"public",5739686
"Myrsine coriacea","diameter at breast height (1.3 m)","24.8","cm",NA,10.1823432219,-84.1068322137,NA,NA,"VG-VB-9",NA,"public",6137306
"Myrsine coriacea","diameter at breast height (1.3 m)","13.8","cm",NA,10.1823432219,-84.1068322137,NA,NA,"VG-VB-9",NA,"public",8212318
"Myrsine coriacea","diameter at breast height (1.3 m)","11.9","cm",NA,10.1823432219,-84.1068322137,NA,NA,"VG-VB-9",NA,"public",8313206
"Myrsine coriacea","diameter at breast height (1.3 m)","16.2","cm",NA,10.1823432219,-84.1068322137,NA,NA,"VG-VB-9",NA,"public",8611182
"Guarea macrophylla","diameter at breast height (1.3 m)","26.2","cm",NA,-1.75391,-51.52048,NA,NA,"VG-CAX-1",NA,"public",9351137
"Guarea macrophylla","diameter at breast height (1.3 m)","26.1","cm",NA,-1.75391,-51.52048,NA,NA,"VG-CAX-1",NA,"public",9420785
"Guarea macrophylla","diameter at breast height (1.3 m)","10.2","cm",NA,-11.8784896,-71.4086283,NA,NA,"Patricia Alvarez-Loayza",NA,"public",9951604
"Guarea macrophylla","diameter at breast height (1.3 m)","17.7","cm",NA,-11.8784896,-71.4086283,NA,NA,"Patricia Alvarez-Loayza",NA,"public",10049454
"Myrsine coriacea","diameter at breast height (1.3 m)","18.7","cm",NA,10.1823432219,-84.1068322137,NA,NA,"VG-VB-9",NA,"public",11437523
"Myrsine coriacea","diameter at breast height (1.3 m)","20.5","cm",NA,10.1823432219,-84.1068322137,NA,NA,"VG-VB-9",NA,"public",11758592
"Myrsine coriacea","diameter at breast height (1.3 m)","30.3","cm",NA,10.1823432219,-84.1068322137,NA,NA,"VG-VB-9",NA,"public",12453634
"Myrsine coriacea","diameter at breast height (1.3 m)","12.9","cm",NA,10.1823432219,-84.1068322137,NA,NA,"VG-VB-9",NA,"public",12453711
"Guarea macrophylla","diameter at breast height (1.3 m)","11.2","cm",NA,-11.8784896,-71.4086283,NA,NA,"Patricia Alvarez-Loayza",NA,"public",13461127
"Guarea macrophylla","diameter at breast height (1.3 m)","11.7","cm",NA,-11.8784896,-71.4086283,NA,NA,"Patricia Alvarez-Loayza",NA,"public",16139763
"Myrsine coriacea","diameter at breast height (1.3 m)","16.4","cm",NA,10.1823432219,-84.1068322137,NA,NA,"VG-VB-9",NA,"public",16756999
"Myrsine coriacea","diameter at breast height (1.3 m)","11.4","cm",NA,10.1823432219,-84.1068322137,NA,NA,"VG-VB-9",NA,"public",17469900
"Myrsine coriacea","diameter at breast height (1.3 m)","26.9","cm",NA,10.1823432219,-84.1068322137,NA,NA,"VG-VB-9",NA,"public",17540125
"Myrsine coriacea","diameter at breast height (1.3 m)","18.8","cm",NA,10.1823432219,-84.1068322137,NA,NA,"VG-VB-9",NA,"public",17972105
"Guarea macrophylla","diameter at breast height (1.3 m)","12.5","cm",NA,-14.9167,-67.0833,NA,NA,"Tim Killeen",NA,"public",5124
"Guarea macrophylla","whole plant height","9.9","m",NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",11874
"Guarea macrophylla","diameter at breast height (1.3 m)","5.8","cm",NA,-12.5049,-68.78,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",34100
"Guarea macrophylla","diameter at breast height (1.3 m)","3.1","cm",NA,-12.5348,-68.7579,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",34103
"Guarea macrophylla","diameter at breast height (1.3 m)","2.5","cm",NA,-12.4845,-69.2003,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",34133
"Endlicheria paniculata","diameter at breast height (1.3 m)","28.4","cm",NA,-13.6428,-60.8919,NA,NA,"Tim Killeen",NA,"public",34221
"Ficus luschnathiana","diameter at breast height (1.3 m)","4.93380323584876","cm",NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",34445
"Ficus luschnathiana","diameter at breast height (1.3 m)","4.20169049762604","cm",NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",34446
"Guarea macrophylla","diameter at breast height (1.3 m)","101","cm",NA,-3.26164,-72.8997,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",34563
"Guarea macrophylla","diameter at breast height (1.3 m)","101","cm",NA,-3.26164,-72.8997,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",34564
"Guarea macrophylla","diameter at breast height (1.3 m)","130","cm",NA,-3.26164,-72.8997,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",34565
"Guarea macrophylla","diameter at breast height (1.3 m)","130","cm",NA,-3.26164,-72.8997,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",34566
"Myrsine coriacea","diameter at breast height (1.3 m)","2.5","cm",NA,11.113,-74.031,NA,NA,"James S. MIller",NA,"public",47044
"Myrsine coriacea","diameter at breast height (1.3 m)","6","cm",NA,11.113,-74.031,NA,NA,"James S. MIller",NA,"public",47046
"Myrsine coriacea","diameter at breast height (1.3 m)","10","cm",NA,11.113,-74.031,NA,NA,"James S. MIller",NA,"public",47047
"Myrsine coriacea","diameter at breast height (1.3 m)","7.5","cm",NA,-16.3,-67.8,NA,NA,"James S. MIller",NA,"public",47153
"Guarea macrophylla","diameter at breast height (1.3 m)","4","cm",NA,-12.4286,-69.2751,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",47246
"Guarea macrophylla","diameter at breast height (1.3 m)","3.2","cm",NA,-12.4845,-69.2003,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",47369
"Endlicheria paniculata","diameter at breast height (1.3 m)","10.7","cm",NA,-13.6428,-60.8919,NA,NA,"Tim Killeen",NA,"public",47449
"Ficus luschnathiana","diameter at breast height (1.3 m)","26","cm",NA,-34.076,-53.755,NA,NA,"Mauricio Bonifacino",NA,"public",47659
"Guarea macrophylla","diameter at breast height (1.3 m)","3.8","cm",NA,-12.4706,-68.8016,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",60598
"Guarea macrophylla","diameter at breast height (1.3 m)","3.5","cm",NA,-12.3459,-69.2546,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",60663
"Guarea macrophylla","diameter at breast height (1.3 m)","30","cm",NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",60823
"Myrsine umbellata","diameter at breast height (1.3 m)","31.3","cm",NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",60826
"Psychotria suterella","diameter at breast height (1.3 m)","9","cm",NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",73498
"Guarea macrophylla","diameter at breast height (1.3 m)","3.8","cm",NA,-12.5048,-68.7776,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",73818
"Guarea macrophylla","diameter at breast height (1.3 m)","3.7","cm",NA,-12.5048,-68.7776,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",73820
"Endlicheria paniculata","diameter at breast height (1.3 m)","8.7","cm",NA,-13.6428,-60.8919,NA,NA,"Tim Killeen",NA,"public",73942
"Endlicheria paniculata","diameter at breast height (1.3 m)","5.9","cm",NA,-13.6428,-60.8919,NA,NA,"Tim Killeen",NA,"public",73947
"Guarea macrophylla","diameter at breast height (1.3 m)","187","cm",NA,-12.5,-68.95,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",74185
"Guarea macrophylla","diameter at breast height (1.3 m)","187","cm",NA,-12.5,-68.95,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",74186
"Guarea macrophylla","diameter at breast height (1.3 m)","112","cm",NA,-3.25088,-72.8916,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",74260
"Guarea macrophylla","diameter at breast height (1.3 m)","112","cm",NA,-3.25088,-72.8916,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",74261
"Guarea macrophylla","diameter at breast height (1.3 m)","2.9","cm",NA,-14.9408,-61.1331,NA,NA,"Tim Killeen",NA,"public",75636
"Guarea macrophylla","diameter at breast height (1.3 m)","3.2","cm",NA,-12.4961,-69.2226,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",88452
"Guarea macrophylla","diameter at breast height (1.3 m)","14.1","cm",NA,-12.4845,-69.2003,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",88458
"Guapira opposita","diameter at breast height (1.3 m)","3","cm",NA,-14.7111,-61.1542,NA,NA,"Tim Killeen",NA,"public",88531
"Guarea macrophylla","diameter at breast height (1.3 m)","25.2","cm",NA,-14.7111,-61.1542,NA,NA,"Tim Killeen",NA,"public",88538
"Guarea macrophylla","diameter at breast height (1.3 m)","14.5","cm",NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",88647
"Guarea macrophylla","diameter at breast height (1.3 m)","267","cm",NA,-3.25088,-72.8916,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",88850
"Guarea macrophylla","diameter at breast height (1.3 m)","267","cm",NA,-3.25088,-72.8916,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",88851
"Guarea macrophylla","diameter at breast height (1.3 m)","3.2","cm",NA,-12.5049,-68.7505,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",101660
"Guarea macrophylla","diameter at breast height (1.3 m)","2.6","cm",NA,-12.5348,-68.7579,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",101669
"Guarea macrophylla","diameter at breast height (1.3 m)","127","cm",NA,-3.26164,-72.8997,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",112874
"Guarea macrophylla","diameter at breast height (1.3 m)","127","cm",NA,-3.26164,-72.8997,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",112875
"Myrsine coriacea","diameter at breast height (1.3 m)","4","cm",NA,0.871,-78.111,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","public",114359
"Guarea macrophylla","diameter at breast height (1.3 m)","60.6","cm",NA,-12.5254,-69.4766,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",115094
"Guarea macrophylla","diameter at breast height (1.3 m)","18.4","cm",NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",115254
"Guarea macrophylla","diameter at breast height (1.3 m)","11.1","cm",NA,-12.4847,-69.2148,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",127977
"Guarea macrophylla","diameter at breast height (1.3 m)","148","cm",NA,-4.875,-73.629,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",128312
"Guarea macrophylla","diameter at breast height (1.3 m)","148","cm",NA,-4.875,-73.629,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",128313
"Guarea macrophylla","diameter at breast height (1.3 m)","7","cm",NA,-10.311,-75.112,NA,NA,"James S. MIller",NA,"public",142212
"Myrsine coriacea","diameter at breast height (1.3 m)","10.8225361302489","cm",NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",142666
"Guarea macrophylla","diameter at breast height (1.3 m)","25.2","cm",NA,-12.4286,-69.2751,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",155496
"Myrsine coriacea","diameter at breast height (1.3 m)","11.4591559026165","cm",NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",155886
"Guarea macrophylla","diameter at breast height (1.3 m)","4","cm",NA,-3.78333,-73.5,NA,NA,"James S. MIller",NA,"public",168681
"Guarea macrophylla","diameter at breast height (1.3 m)","2.8","cm",NA,-12.4706,-68.8016,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",168822
"Guarea macrophylla","diameter at breast height (1.3 m)","11.5","cm",NA,-14.7111,-61.1542,NA,NA,"Tim Killeen",NA,"public",168949
"Guapira opposita","diameter at breast height (1.3 m)","15.5","cm",NA,-13.8858,-60.0667,NA,NA,"Tim Killeen",NA,"public",168972
"Myrsine coriacea","diameter at breast height (1.3 m)","8.817183847291","cm",NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",169130
"Guarea macrophylla","diameter at breast height (1.3 m)","121","cm",NA,-3.23333,-72.9,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",169216
"Guarea macrophylla","diameter at breast height (1.3 m)","121","cm",NA,-3.23333,-72.9,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",169217
"Guarea macrophylla","diameter at breast height (1.3 m)","258","cm",NA,-3.25088,-72.8916,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",169230
"Guarea macrophylla","diameter at breast height (1.3 m)","258","cm",NA,-3.25088,-72.8916,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",169231
"Guarea macrophylla","diameter at breast height (1.3 m)","3","cm",NA,-5.778,-51.003,NA,NA,"James S. MIller",NA,"public",181621
"Guarea macrophylla","diameter at breast height (1.3 m)","6","cm",NA,-12.4286,-69.2751,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",181844
"Guarea macrophylla","diameter at breast height (1.3 m)","3.2","cm",NA,-12.4706,-68.8016,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",181914
"Myrsine coriacea","diameter at breast height (1.3 m)","9.07183175623804","cm",NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",182202
"Guarea macrophylla","diameter at breast height (1.3 m)","56","cm",NA,-12.4286,-69.2751,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",196131
"Myrsine coriacea","diameter at breast height (1.3 m)","16.5","cm",NA,-34.076,-53.755,NA,NA,"Mauricio Bonifacino",NA,"public",196528
"Guarea macrophylla","diameter at breast height (1.3 m)","112","cm",NA,-3.26164,-72.8997,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",196666
"Guarea macrophylla","diameter at breast height (1.3 m)","112","cm",NA,-3.26164,-72.8997,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",196667
"Guarea macrophylla","diameter at breast height (1.3 m)","12.1","cm",NA,-12.4286,-69.2751,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",209424
"Guarea macrophylla","diameter at breast height (1.3 m)","5.4","cm",NA,-12.6107,-69.0178,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",209477
"Guarea macrophylla","diameter at breast height (1.3 m)","3.1","cm",NA,-12.3299,-69.2712,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",209572
"Guarea macrophylla","diameter at breast height (1.3 m)","2.5","cm",NA,-12.5833,-69.15,NA,NA,"James S. MIller",NA,"public",221763
"Guarea macrophylla","diameter at breast height (1.3 m)","2.5","cm",NA,-0.416667,-72.3333,NA,NA,"James S. MIller",NA,"public",222112
"Psychotria suterella","diameter at breast height (1.3 m)","6","cm",NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",222162
"Psychotria suterella","diameter at breast height (1.3 m)","4","cm",NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",222163
"Psychotria suterella","diameter at breast height (1.3 m)","3","cm",NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",222164
"Psychotria suterella","diameter at breast height (1.3 m)","4","cm",NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",222165
"Guarea macrophylla","diameter at breast height (1.3 m)","115","cm",NA,-12.49,-69.11,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",222971
"Guarea macrophylla","diameter at breast height (1.3 m)","115","cm",NA,-12.49,-69.11,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",222972
"Guarea macrophylla","diameter at breast height (1.3 m)","147","cm",NA,-3.43367,-72.8446,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",223094
"Guarea macrophylla","diameter at breast height (1.3 m)","147","cm",NA,-3.43367,-72.8446,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",223095
"Guarea macrophylla","diameter at breast height (1.3 m)","5","cm",NA,-3.43333,-72.85,NA,NA,"James S. MIller",NA,"public",235697
"Guarea macrophylla","diameter at breast height (1.3 m)","118","cm",NA,-3.26164,-72.8997,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",236274
"Guarea macrophylla","diameter at breast height (1.3 m)","118","cm",NA,-3.26164,-72.8997,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",236275
"Psychotria suterella","diameter at breast height (1.3 m)","5","cm",NA,-23.581,-46.07,NA,NA,"James S. MIller",NA,"public",249792
"Psychotria suterella","diameter at breast height (1.3 m)","5","cm",NA,-23.581,-46.07,NA,NA,"James S. MIller",NA,"public",249812
"Psychotria suterella","diameter at breast height (1.3 m)","7","cm",NA,-23.581,-46.07,NA,NA,"James S. MIller",NA,"public",249813
"Psychotria suterella","diameter at breast height (1.3 m)","5","cm",NA,-23.581,-46.07,NA,NA,"James S. MIller",NA,"public",249814
"Guarea macrophylla","diameter at breast height (1.3 m)","3.6","cm",NA,-12.4778,-69.2043,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",250238
"Guarea macrophylla","diameter at breast height (1.3 m)","11.9","cm",NA,-14.5675,-60.7478,NA,NA,"Tim Killeen",NA,"public",250413
"Myrsine coriacea","diameter at breast height (1.3 m)","4","cm",NA,-34.076,-53.755,NA,NA,"Mauricio Bonifacino",NA,"public",250521
"Dalbergia frutescens","diameter at breast height (1.3 m)","5","cm",NA,19.0833,-69.5,NA,NA,"James S. MIller",NA,"public",262956
"Guarea macrophylla","diameter at breast height (1.3 m)","4.5","cm",NA,-12.8406,-69.2929,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",263366
"Endlicheria paniculata","diameter at breast height (1.3 m)","12.7","cm",NA,-13.6428,-60.8919,NA,NA,"Tim Killeen",NA,"public",263526
"Guarea macrophylla","diameter at breast height (1.3 m)","3.1","cm",NA,-13.8858,-60.0667,NA,NA,"Tim Killeen",NA,"public",263555
"Guarea macrophylla","diameter at breast height (1.3 m)","12","cm",NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",263621
"Psychotria suterella","diameter at breast height (1.3 m)","6","cm",NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",276214
"Psychotria suterella","diameter at breast height (1.3 m)","3","cm",NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",276215
"Psychotria suterella","diameter at breast height (1.3 m)","9","cm",NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",276216
"Guarea macrophylla","diameter at breast height (1.3 m)","17","cm",NA,-12.4961,-69.2226,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",276660
"Guarea macrophylla","diameter at breast height (1.3 m)","5","cm",NA,-13.35,-69.6667,NA,NA,"James S. MIller",NA,"public",287713
"Guarea macrophylla","diameter at breast height (1.3 m)","2.5","cm",NA,-13.35,-69.6667,NA,NA,"James S. MIller",NA,"public",287714
"Guarea macrophylla","diameter at breast height (1.3 m)","3","cm",NA,-10.311,-75.112,NA,NA,"James S. MIller",NA,"public",287730
"Psychotria suterella","diameter at breast height (1.3 m)","5","cm",NA,-23.581,-46.07,NA,NA,"James S. MIller",NA,"public",289481
"Psychotria suterella","diameter at breast height (1.3 m)","2.5","cm",NA,-23.581,-46.07,NA,NA,"James S. MIller",NA,"public",289482
"Psychotria suterella","diameter at breast height (1.3 m)","5","cm",NA,-23.581,-46.07,NA,NA,"James S. MIller",NA,"public",289483
"Psychotria suterella","diameter at breast height (1.3 m)","5","cm",NA,-23.581,-46.07,NA,NA,"James S. MIller",NA,"public",289484
"Psychotria suterella","diameter at breast height (1.3 m)","2.5","cm",NA,-23.581,-46.07,NA,NA,"James S. MIller",NA,"public",289485
"Psychotria suterella","diameter at breast height (1.3 m)","7","cm",NA,-23.581,-46.07,NA,NA,"James S. MIller",NA,"public",289486
"Psychotria suterella","diameter at breast height (1.3 m)","9","cm",NA,-23.581,-46.07,NA,NA,"James S. MIller",NA,"public",289487
"Psychotria suterella","diameter at breast height (1.3 m)","4","cm",NA,-23.581,-46.07,NA,NA,"James S. MIller",NA,"public",289488
"Psychotria suterella","diameter at breast height (1.3 m)","7","cm",NA,-23.581,-46.07,NA,NA,"James S. MIller",NA,"public",289490
"Psychotria suterella","diameter at breast height (1.3 m)","5","cm",NA,-23.581,-46.07,NA,NA,"James S. MIller",NA,"public",289491
"Psychotria suterella","diameter at breast height (1.3 m)","3","cm",NA,-23.581,-46.07,NA,NA,"James S. MIller",NA,"public",289492
"Guarea macrophylla","diameter at breast height (1.3 m)","4","cm",NA,-4.91667,-73.75,NA,NA,"James S. MIller",NA,"public",289601
"Guarea macrophylla","diameter at breast height (1.3 m)","10.4","cm",NA,-12.4286,-69.2751,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",289782
"Guarea macrophylla","diameter at breast height (1.3 m)","6.1","cm",NA,-12.4286,-69.2751,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",289783
"Guarea macrophylla","diameter at breast height (1.3 m)","8.7","cm",NA,-12.4845,-69.2003,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",289905
"Guarea macrophylla","diameter at breast height (1.3 m)","5.3","cm",NA,-12.5389,-69.4257,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",289909
"Guarea macrophylla","diameter at breast height (1.3 m)","29","cm",NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",290062
"Myrsine coriacea","diameter at breast height (1.3 m)","9.54929658551372","cm",NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",290166
"Guarea macrophylla","diameter at breast height (1.3 m)","9","cm",NA,-11.85,-71.3167,NA,NA,"James S. MIller",NA,"public",303717
"Guarea macrophylla","diameter at breast height (1.3 m)","2.5","cm",NA,-3.43333,-72.85,NA,NA,"James S. MIller",NA,"public",303978
"Guarea macrophylla","diameter at breast height (1.3 m)","6.2","cm",NA,-12.8477,-69.2936,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",304077
"Myrsine coriacea","diameter at breast height (1.3 m)","6","cm",NA,0.871,-78.111,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","public",316536
"Guarea macrophylla","diameter at breast height (1.3 m)","3.2","cm",NA,-12.4845,-69.2003,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",317312
"Guarea macrophylla","diameter at breast height (1.3 m)","7.5","cm",NA,-12.5254,-69.4766,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",317326
"Guarea macrophylla","diameter at breast height (1.3 m)","10.8","cm",NA,-14.3489,-61.1608,NA,NA,"Tim Killeen",NA,"public",317373
"Guarea macrophylla","diameter at breast height (1.3 m)","10.7","cm",NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",317495
"Myrsine umbellata","diameter at breast height (1.3 m)","36.3","cm",NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",317497
"Ficus luschnathiana","diameter at breast height (1.3 m)","3.5014087480217","cm",NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",317600
"Ficus luschnathiana","diameter at breast height (1.3 m)","3.02394391874601","cm",NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",317601
"Ficus luschnathiana","diameter at breast height (1.3 m)","3.81971863420549","cm",NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",317602
"Guarea macrophylla","diameter at breast height (1.3 m)","16","cm",NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",330560
"Ficus luschnathiana","diameter at breast height (1.3 m)","11.4591559026165","cm",NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",330684
"Ficus luschnathiana","diameter at breast height (1.3 m)","8.27605704077856","cm",NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",330685
"Guarea macrophylla","diameter at breast height (1.3 m)","204","cm",NA,-12.49,-69.11,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",330758
"Guarea macrophylla","diameter at breast height (1.3 m)","204","cm",NA,-12.49,-69.11,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",330759
"Endlicheria paniculata","diameter at breast height (1.3 m)","3","cm",NA,-24.1333,-55.5333,NA,NA,"James S. MIller",NA,"public",343347
"Guarea macrophylla","diameter at breast height (1.3 m)","16.1","cm",NA,-12.4286,-69.2751,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",343561
"Guarea macrophylla","diameter at breast height (1.3 m)","7.4","cm",NA,-12.4847,-69.2148,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",343699
"Endlicheria paniculata","diameter at breast height (1.3 m)","12.3","cm",NA,-13.6428,-60.8919,NA,NA,"Tim Killeen",NA,"public",343782
"Guapira opposita","diameter at breast height (1.3 m)","14.4","cm",NA,-13.8858,-60.0667,NA,NA,"Tim Killeen",NA,"public",343800
"Myrsine coriacea","diameter at breast height (1.3 m)","20.3","cm",NA,-34.076,-53.755,NA,NA,"Mauricio Bonifacino",NA,"public",343946
"Myrsine coriacea","diameter at breast height (1.3 m)","6.20704278058392","cm",NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",343957
"Myrsine umbellata","diameter at breast height (1.3 m)","5","cm",NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",357563
"Guarea macrophylla","diameter at breast height (1.3 m)","5","cm",NA,6.613,-76.587,NA,NA,"James S. MIller",NA,"public",357715
"Guarea macrophylla","diameter at breast height (1.3 m)","2.5","cm",NA,-13.35,-69.6667,NA,NA,"James S. MIller",NA,"public",357745
"Guarea macrophylla","diameter at breast height (1.3 m)","9","cm",NA,-12.4286,-69.2751,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",357836
"Guarea macrophylla","diameter at breast height (1.3 m)","3","cm",NA,-12.4961,-69.2226,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",357963
"Endlicheria paniculata","diameter at breast height (1.3 m)","13","cm",NA,-13.6428,-60.8919,NA,NA,"Tim Killeen",NA,"public",358047
"Myrsine umbellata","diameter at breast height (1.3 m)","30.3","cm",NA,-14.5675,-60.7478,NA,NA,"Tim Killeen",NA,"public",358137
